Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Pedestrian,Brightness S2,0.01,0.9235127478753541,0.2103225806451613,0.34261692065160276,652,54,2448,446,0.9815864022662889,0.058073654390934815,True
Pedestrian,Brightness S2,0.05,0.4603399433427762,0.35135135135135137,0.39852851011649293,325,381,600,2294,0.9050991501416431,0.4447592067988669,False
Pedestrian,Brightness S2,0.1,0.33994334277620397,0.4485981308411215,0.386784850926672,240,466,295,2599,0.8512747875354107,0.5113314447592068,False
Pedestrian,Brightness S2,0.2,0.2237960339943343,0.5745454545454546,0.3221202854230378,158,548,117,2777,0.7252124645892352,0.5014164305949009,False
Pedestrian,Brightness S2,0.3,0.18271954674220964,0.6323529411764706,0.28351648351648356,129,577,75,2819,0.6430594900849859,0.4603399433427762,False
Pedestrian,Brightness S2,0.4,0.1558073654390935,0.6395348837209303,0.2505694760820045,110,596,62,2832,0.5835694050991501,0.42776203966005666,False
Pedestrian,Brightness S2,0.5,0.13456090651558072,0.6785714285714286,0.22458628841607564,95,611,45,2849,0.509915014164306,0.37535410764872523,False
Pedestrian,Brightness S2,0.6,0.12181303116147309,0.7413793103448276,0.20924574209245742,86,620,30,2864,0.45609065155807366,0.3342776203966006,False
Pedestrian,Brightness S2,0.7,0.11048158640226628,0.8387096774193549,0.19524405506883605,78,628,15,2879,0.4093484419263456,0.2988668555240793,False
Pedestrian,Brightness S2,0.8,0.09490084985835694,0.8481012658227848,0.17070063694267515,67,639,12,2882,0.35410764872521244,0.2592067988668555,False
Pedestrian,Brightness S2,0.9,0.07790368271954674,0.9649122807017544,0.14416775884665792,55,651,2,2892,0.2776203966005666,0.19971671388101986,False
Pedestrian,Brightness S3,0.01,1.0,0.19611111111111112,0.32791453785415703,706,0,2894,0,0.9815864022662889,-0.018413597733711096,True
Pedestrian,Brightness S3,0.05,0.08923512747875353,0.4012738853503185,0.14600231749710313,63,643,94,2800,0.9050991501416431,0.8158640226628896,False
Pedestrian,Brightness S3,0.1,0.042492917847025496,0.75,0.08042895442359249,30,676,10,2884,0.8512747875354107,0.8087818696883853,False
Pedestrian,Brightness S3,0.2,0.025495750708215296,0.8571428571428571,0.04951856946354883,18,688,3,2891,0.7252124645892352,0.6997167138810199,False
Pedestrian,Brightness S3,0.3,0.015580736543909348,0.8461538461538461,0.030598052851182198,11,695,2,2892,0.6430594900849859,0.6274787535410765,False
Pedestrian,Brightness S3,0.4,0.0113314447592068,0.8888888888888888,0.022377622377622378,8,698,1,2893,0.5835694050991501,0.5722379603399433,False
